Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,A-,$,$,$,B,$,$,$,$,$,$,$,$,$,B,$,$,$,A,$,$,$,A-,$,$,$,$,$,$,$,$,$,$,B,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$
$,$,$,$,C-,$,$,$,$,$,F,B,C,$,B,B-,C,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,B,C,$,$,$,$,$,B-,D,B-,$,$,$,$,D,$,B,D,$,A-,$,$,$,$,$,C+,$,$,$,$,$,A-,$,$,A-
$,$,$,$,$,$,$,$,D,D,B,$,$,$,$,$,$,$,$,C,C,$,$,C,$,$,$,$,$,C,$,$,$,$,C,$,B,$,B,$,$,$,$,$,$,F,$,$,$,$,$,$,$,C,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,A-,A-,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,B-,$,$,$,$,$,$,D,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,B-,$,$,A,$,$,$,B,$,B,$,A-,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,A,A,A,$,$,$,A,$,$,A,A,A,$,A,$,$,$,$,$,$,$,A-,A,$,$,A,$,$,A,$,$,$,A,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,A,A,$,$,$,$,$,$,$
$,$,$,$,C+,C,C+,A-,$,$,B+,B-,$,$,C,C,B-,$,A,$,$,$,$,$,$,$,C+,A,$,$,C+,$,$,$,$,C+,$,B-,A-,B,$,$,$,$,C,A,C,$,$,$,$,$,$,B,$,$,A-,$,$,C,B-,B-,B-,C-,C,$,$,$,$,$,$,$
$,C,$,$,$,$,$,$,$,$,$,B,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,C,$,$,$,$,$,B,$,$,$,$,$,A,$,$,A
$,$,$,$,C,C,F,$,$,A,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,B-,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C,$,F,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,C,C,F,$,$,$,$,F,$,$,D,D,F,$,$,$,$,$,$,B,$,$,C,F,$,$,$,$,$,$,$,$,A,B,A,$,B,$,$,$,C-,B,C-,$,$,$,$,$,$,C,C,B+,D+,$,$,$,$,$,$,$,$,$,$,$,C,$,$,D+
$,C+,$,$,$,C,D+,$,$,$,B+,B,C-,$,C,C+,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,C-,A-,$,$,$,B,$,C+,B+,C-,$,$,$,$,$,$,$,$,B,C,$,$,$,$,$,$,$,$,$,$,$,F,$,$,B
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
C,$,$,$,F,$,$,$,$,A,A,C,$,$,B,B,$,$,$,$,B-,$,$,D,$,$,$,$,$,$,$,$,$,$,B,$,$,$,A,$,C,$,$,$,$,C,B-,$,$,$,$,$,$,B,B,A,$,$,$,$,$,$,$,$,$,$,B+,B-,B,$,$,$
$,$,$,$,$,$,$,$,$,D,B,$,$,B,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,B,$,$,C,$,A-,$,C,$,C,$,A,$,$,$,$,$,$,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$
$,$,$,$,$,$,$,$,C+,B-,A,$,$,D+,C-,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,C,$,B,$,$,C+,$,C,$,B,$,C,$,$,$,$,D,$,$,$,$,$,$,$,C,B,B,$,$,$,$,$,$,$,$,$,$,B-,A-,B+,D,$,$
$,$,$,$,B,F,F,C+,$,$,$,$,$,$,$,$,C-,$,A,$,$,$,$,$,$,$,B+,F,$,$,$,$,$,$,$,$,C,$,$,F,$,$,$,$,$,$,$,$,$,$,$,F,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,F,B,C,$,$,B,A,A,$,B,B-,C,$,B,$,$,$,$,$,$,$,B-,A-,$,$,A-,A-,$,$,$,B,$,B+,A,A,$,$,$,$,B,A,C,$,$,$,$,$,$,$,$,$,A,$,$,A-,A-,A,C,B,B,$,$,$,$,$,$,$
C,$,$,$,D,$,$,$,C,B,B,$,$,C,C,C,$,$,$,$,C,$,$,C+,C,$,$,$,$,$,$,$,$,$,C+,$,A-,$,A-,$,C,$,$,$,$,C,$,$,$,$,$,$,$,C,B+,C,$,$,$,$,$,$,$,$,$,$,A,C,A,B,$,B-
$,$,$,$,D,$,$,$,$,C,A,$,$,B+,$,$,$,$,B,$,$,$,B,B+,$,$,$,$,$,$,$,B+,$,$,B,$,$,$,A,$,B-,$,C,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
$,$,$,$,F,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,D,C+,$,$,$,$,$,$,$,$,$,$,$,$,C-,F,$,$,$,$,$,$,$,$,$,F,$,B,$,B+,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$
$,$,$,C+,$,$,$,$,$,B-,D+,$,$,C-,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,C-,$,A,$,C,$,C,$,D,$,$,$,$,$,$,$,$,C-,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,F,$,$,F,B,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C-,$,$,$,$,C-,$,$,$,$,$,$,C+,$,$,B-,$,$,$,$,$,$,$,$,$,$,C,$,A,F,B-,$,C,$,$,$,$,$,$,$,$,A,$,$,$,C,$,F,$,$,$,$,$,$,$,$,$,$,$,$,B+,C-,$,$
$,$,$,$,C,C+,B-,$,$,A-,A,A-,$,$,A,A,C,$,A,$,$,$,$,$,$,$,A-,A,$,$,A,$,$,A-,$,A,$,B,A,A,$,$,$,$,A,B,A,$,$,$,$,$,$,B-,$,$,A,$,$,A-,A,A,B,A,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,B+,B-,$,A,B,B+,$,$,B,B-,B-,$,A,$,$,$,$,$,$,$,$,B,$,$,B-,$,$,$,$,A-,$,B+,B,B,$,$,$,$,B,B,B+,$,$,$,$,$,$,A,$,$,B,$,$,B-,A,A,B+,B-,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,D,$,$,C,B,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,C,$,$,$,$,$,$,F,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,C,C-,$,A,A-,B-,$,$,C+,B,B-,$,A,$,$,$,$,$,$,$,C+,F,$,$,C+,$,$,$,$,A-,$,C+,A,B+,$,$,$,$,C+,A-,B,$,$,$,$,$,$,B,$,$,B+,$,$,C+,B,B-,A-,B,C+,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,F,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,F,$,$,$,$,$,B+,$,$,C-,C-,C,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,C,$,$,$,B+,$,$,$,$,$,$,C,A,A,$,$,$,$,$,$,$,$,B,C+,$,$,A,A,A,C+,B,$,$,$,$,A,$,$,A
$,$,$,$,$,$,D,$,$,$,$,B,$,$,C,A-,C,$,$,$,$,B+,B-,B,$,$,B,B-,B-,$,B+,$,$,$,A-,$,$,B+,A,$,$,$,$,$,B,A-,A-,$,A-,$,$,$,A,A,$,$,B+,A,$,B-,A-,A,B-,B,C,$,$,$,$,$,$,$
$,$,$,$,C,F,$,F,$,A,B+,C,$,$,B-,C-,C+,$,C+,$,$,$,$,B+,$,$,$,$,$,$,B,$,$,B,B-,$,$,C,B,$,$,$,$,$,B,C,F,$,$,$,$,C,$,D,$,F,B-,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B
$,$,$,$,$,C,B,B,$,$,$,$,$,$,A,$,$,$,$,$,$,$,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,B,A,$,$,$,$,$,B,B,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,C+,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B-,C-,C+,$,$,A,A,C,C,$,C,C+,C-,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,B+,B,$,$,B,A,$,$,$,$,$,B-,C+,B,$,$,$,$,$,$,B,$,A,B+,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,B+
$,$,$,$,C,$,$,$,C,C,B,C+,$,$,A,B,C+,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,B-,B+,$,$,B,C+,$,$,$,$,$,B,B,B,$,$,$,$,$,$,B,$,$,B,$,$,$,$,$,B+,A-,$,$,$,$,A,D,$,A
$,$,$,$,C,D,B+,D,B+,D,C+,C-,$,$,B-,A,B+,$,A,$,$,$,B-,$,$,$,B+,B,$,$,C+,$,$,$,$,$,$,C,A,F,$,$,$,$,C-,C,C-,$,$,$,$,$,$,B-,$,$,B,$,$,$,F,$,D+,F,F,$,$,$,$,B-,$,$
$,$,$,$,F,$,$,D,$,A,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,F,$,$,$,$,$,C,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,C,$,$,$,D,F,F,$,C+,B,D,$,$,D,B,D,$,A-,$,$,$,$,$,$,$,C-,C+,$,$,C+,$,$,C,$,$,$,C+,D,B+,$,$,$,$,B-,D+,C-,$,$,$,$,$,$,D,$,$,B-,$,$,C+,B,B+,B,B,C,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,B-,B,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,D,$,$,$,$,D,C,$,B,D,F,$,$,C,C,C-,$,$,$,$,$,$,$,$,$,C,B-,$,$,C-,$,$,B,$,$,$,C+,B,$,$,$,$,$,D,C-,B-,$,$,$,$,$,$,A,$,C,C,$,$,$,$,$,C-,C,$,$,$,$,F,$,$,$
C+,$,$,$,$,$,$,$,$,C,C+,$,$,$,C-,C,$,$,$,$,$,$,$,C,C+,$,$,$,$,$,$,D,$,B,D,$,$,$,C-,$,C-,$,$,$,$,D,C-,$,$,A,$,D,$,C,C-,A,$,$,$,$,$,$,$,$,$,$,B-,C-,C,$,$,C
$,$,$,$,D,$,$,$,$,A-,A-,C-,C,$,C,C,C,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,B,C+,$,$,A-,A,$,$,$,$,$,C-,A-,B,$,$,$,$,D+,$,$,$,B,B-,$,$,$,$,$,B,$,$,$,$,$,A-,$,$,C
$,$,$,$,$,$,$,$,F,$,C,D,$,$,C,D,C-,$,$,$,$,$,$,D,$,$,$,$,$,F,$,$,$,$,D,$,$,C,C,$,$,$,$,$,D,C,C,$,$,$,$,$,$,C,C,$,C+,$,$,$,$,$,$,$,$,$,B,B,B,D,$,B
$,$,$,$,$,F,D,$,$,$,A-,A-,$,$,A,B,B,$,A,$,$,$,$,$,$,$,C,C-,$,$,B,$,$,B,$,A,$,B-,A,A-,$,$,$,$,B,B,C,$,$,$,$,$,$,B,$,B,B+,$,$,A,A-,A,B,A,C,$,$,$,$,$,$,$
$,$,$,$,C+,C-,C,B-,C,C,B,B-,$,$,C,C+,C,$,A,$,C,$,$,C,$,$,B,C,$,D,C+,$,$,$,C,B,$,A-,A,C+,C,$,$,$,B+,B,C,$,$,$,$,B,$,B,C,B,C,$,$,B-,B-,B,C,A-,C,$,B,B,$,D,$,$
$,$,$,$,F,$,$,D,$,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
$,$,$,$,F,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,D,$,$,A-,A-,$,$,B,$,$,F,$,$,$,C,$,$,B,$,$,$,$,$,$,$,$,$,$,A,$,$,$,B-,$,C,$,B,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,A,$,$,$
$,$,$,$,B,C,B+,C+,$,B,B,B,$,$,B,C,C-,$,A-,$,$,$,$,$,$,$,C,C+,$,$,B,$,$,$,$,B+,$,B,A-,B+,$,$,$,$,C+,B-,B,$,$,$,$,$,$,A,$,$,A,$,$,B,C+,C,C+,A-,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,A-,B,$,$,$,$,$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,$,$,$,$,$,$,A-,$,C+,$,$,$,F,$,$,$,$,$,$,$,$,$,$,C,F,C-,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$
$,$,$,$,C-,$,$,$,$,B,B,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,A-,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,D,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B+,B-,B-,$,$,A,A,B,$,$,C,A-,B-,$,A,$,$,$,$,$,$,$,A,C+,$,$,B,$,$,B,$,B+,$,B,B,A-,$,$,$,$,C,A-,B,$,$,$,$,A-,$,A,$,$,B+,$,$,B,B+,B+,B-,C+,C+,$,$,$,$,$,$,$
$,$,$,$,C+,$,$,$,$,$,A,C+,$,$,C+,B,C,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,B+,$,$,$,B,A,$,$,$,$,$,C,B,C+,$,$,$,$,B-,$,A,$,A-,B+,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,B
$,$,$,$,$,$,$,$,$,B-,A,$,$,$,$,$,$,$,$,$,$,$,$,D,C,$,$,$,$,B,$,$,$,$,C,$,A-,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,B,C,$,$,B,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,B-,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,C,$,$,$,$,$,$,$,$,$,$,D,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,$,$,$,$,$,$,$,B,B,B,$,$,C,$,$,$,$,$,$,B,$,$,B,$,$,$,$,$,$,$,B-,$,$,C,$,A,$,A,$,C,$,B,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,$,F,F,$,$,$,C,C,B,$,B,C,B,$,$,A,$,A,$,$,B,$,$,C,$,$,$,$,$,$,$,$,$,A,C,A,$,B,$,$,$,$,C,F,$,$,$,$,$,$,B,B,B,$,$,$,$,$,$,$,$,$,$,C,B,B,$,$,C+
$,$,$,A-,D,$,$,$,B,A-,$,$,$,B,$,C,$,$,$,$,$,$,$,C+,C,$,$,$,$,$,$,$,$,$,B,$,A,$,A,$,B-,$,B-,$,$,C+,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$
$,$,$,$,$,$,C+,B,$,$,A-,A-,$,$,A,B,B+,$,A,$,$,$,$,$,$,$,A-,A-,$,$,B+,$,$,A-,$,$,$,B,A,A,$,$,$,$,B-,B+,A-,$,$,$,$,$,$,A,$,$,A-,$,$,A-,A-,A,A-,B+,A-,$,$,$,$,$,$,$
$,$,$,$,C+,$,$,$,C,B,D,C-,$,$,C,C-,D,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,A,B-,B,$,$,$,$,$,B,F,C,$,$,$,$,$,$,C,B,$,C-,$,B,$,$,$,$,B-,$,$,$,$,C,D,$,C+
$,$,$,$,$,$,$,$,$,$,$,C+,$,$,C,B-,D,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,C+,B,$,$,B,B,$,$,$,$,$,B+,$,C+,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,B+,B,$,$,$,$,A,$,$,A-
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,C-,$,$,A,B+,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
D,$,$,$,$,$,$,$,F,C,C,$,$,$,F,C,$,$,$,$,F,$,$,B,F,$,$,$,$,F,$,$,$,$,F,$,B,$,C,$,F,$,$,$,$,F,$,$,$,$,$,$,$,C,C,D,$,$,$,$,$,$,$,$,$,$,B,A,B,$,$,B
$,$,$,$,$,$,$,$,C,C,C,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,D,$,$,$,$,$,F,$,C,C,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,F,$,$
$,A,$,$,$,B,B,C,$,A,C,A,$,$,A,B+,C+,$,A-,$,$,$,$,$,$,$,B,B+,$,$,A,$,$,$,$,A-,$,A,A,B,$,$,$,$,A,A,A,$,$,$,$,$,$,B,$,$,A,$,$,B,A-,A,B,A,A,$,$,$,$,$,$,$
$,B,$,$,$,C+,C,$,$,C-,B-,B+,A,$,B+,$,A-,$,A-,$,$,$,$,$,$,$,B+,A,$,$,B,$,$,B+,$,B+,$,C+,$,B,$,$,$,$,C+,B,A-,$,$,$,$,$,$,$,$,$,$,$,$,A-,A-,B+,B+,A-,A-,$,$,$,$,$,$,$
$,$,$,$,$,A,B-,$,$,B,C-,A-,$,$,B+,F,B-,$,F,$,$,$,$,$,$,$,B,C,$,$,B-,$,$,C-,$,$,$,C+,$,$,$,$,$,$,C,A,B,$,$,$,$,$,$,A,$,$,F,$,$,$,$,$,F,C-,F,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,B-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,F,A,F,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,B,$,$,$,C+,B,$,$,$,$,$,$,B,F,$,$,$,$,$,$,B,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,B,D,$,F
$,$,$,$,C-,$,$,$,C,A-,B,F,$,$,C+,B,D,$,$,$,$,$,$,B,$,$,$,$,$,$,B-,$,$,B,B,$,$,B-,A,$,$,$,B,$,C+,D,B-,$,$,B-,$,$,$,B,B-,$,B-,$,$,$,$,$,B-,C+,$,$,$,$,B+,B-,$,$
$,$,$,$,B,C,$,C,$,$,C,C+,$,$,F,D+,D,$,A,$,$,$,$,$,$,$,C-,$,$,$,C+,$,$,$,B,$,$,C,D,$,$,$,$,$,C-,C,B-,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,F,$,$
A-,$,$,$,B,$,$,$,$,B,B,B+,$,A-,B,A,$,$,$,$,A,$,$,B,$,$,$,$,$,$,$,$,$,$,B,$,$,$,A,$,A,$,$,$,$,C,$,$,$,$,$,C,$,B,B,A,$,$,$,$,$,$,$,$,$,$,A,A,A,$,$,A
$,$,$,$,F,$,$,$,$,D,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,D,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
